"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2015","46.13","48.28","48.72","46.01","130.93M","-4.06%"
"12/01/2014","48.08","49.33","49.75","46.42","168.76M","-3.16%"
"11/01/2014","49.65","46.67","49.88","46.31","99.49M","6.80%"
"10/01/2014","46.49","44.46","47.07","41.92","183.67M","4.23%"
"09/01/2014","44.60","39.17","45.15","39.17","217.29M","13.56%"
"08/01/2014","39.28","38.27","40.15","37.95","115.39M","1.84%"
"07/01/2014","38.56","38.87","39.97","38.15","134.55M","-0.54%"
"06/01/2014","38.78","38.49","39.58","36.57","165.37M","0.83%"
"05/01/2014","38.46","36.40","38.47","35.76","113.47M","5.43%"
"04/01/2014","36.47","37.01","37.59","35.30","166.18M","-1.23%"
"03/01/2014","36.93","38.81","40.04","36.51","178.57M","-5.67%"
"02/01/2014","39.15","36.38","39.53","34.92","137.18M","7.48%"
"01/01/2014","36.42","39.08","39.42","35.76","168.01M","-7.36%"
"12/01/2013","39.32","39.74","40.13","37.71","162.57M","-0.63%"
"11/01/2013","39.57","37.90","39.93","37.79","102.26M","4.46%"
"10/01/2013","37.88","36.52","38.44","34.98","178.46M","4.30%"
"09/01/2013","36.32","31.81","37.63","31.75","226.25M","15.63%"
"08/01/2013","31.41","31.62","33.42","31.30","136.69M","-0.16%"
"07/01/2013","31.46","31.97","32.33","30.95","139.20M","-1.19%"
"06/01/2013","31.84","30.80","32.03","29.56","179.35M","3.28%"
"05/01/2013","30.83","31.78","33.03","30.78","143.23M","-3.05%"
"04/01/2013","31.80","29.50","31.88","28.99","147.37M","7.78%"
"03/01/2013","29.50","27.21","30.13","26.64","197.85M","8.35%"
"02/01/2013","27.23","27.23","27.95","26.75","123.36M","0.76%"
"01/01/2013","27.02","26.20","27.78","25.70","149.29M","4.75%"
"12/01/2012","25.80","24.42","26.56","24.15","181.54M","5.87%"
"11/01/2012","24.37","22.98","25.08","22.41","188.99M","6.70%"
"10/01/2012","22.84","23.73","24.52","22.58","198.28M","-3.75%"
"09/01/2012","23.73","24.30","25.23","23.20","252.50M","-2.51%"
"08/01/2012","24.34","23.38","24.82","22.76","212.74M","4.28%"
"07/01/2012","23.34","22.10","24.44","22.01","277.91M","6.33%"
"06/01/2012","21.95","26.57","27.48","21.27","339.52M","-18.85%"
"05/01/2012","27.05","27.98","28.70","26.07","205.04M","-3.29%"
"04/01/2012","27.97","27.11","28.00","26.48","184.90M","3.17%"
"03/01/2012","27.11","27.22","28.24","26.52","230.85M","0.48%"
"02/01/2012","26.98","26.10","27.07","25.64","148.48M","3.77%"
"01/01/2012","26.00","24.34","26.23","24.13","193.47M","7.93%"
"12/01/2011","24.09","23.84","24.56","23.22","221.89M","0.17%"
"11/01/2011","24.05","23.38","24.38","22.45","196.02M","-0.17%"
"10/01/2011","24.09","21.24","24.42","20.25","232.70M","12.68%"
"09/01/2011","21.38","21.59","23.14","20.05","327.13M","-1.29%"
"08/01/2011","21.66","22.61","22.61","19.25","346.15M","-3.90%"
"07/01/2011","22.54","22.41","23.56","22.14","241.53M","0.18%"
"06/01/2011","22.50","21.09","22.64","19.86","337.34M","6.58%"
"05/01/2011","21.11","20.70","21.63","20.35","197.24M","2.58%"
"04/01/2011","20.58","18.98","20.68","18.95","223.11M","8.72%"
"03/01/2011","18.93","22.41","22.78","17.36","425.15M","-14.96%"
"02/01/2011","22.26","20.69","22.29","20.66","177.18M","7.95%"
"01/01/2011","20.62","21.46","21.64","20.25","181.61M","-3.46%"
"12/01/2010","21.36","21.87","23.12","21.28","212.49M","-0.79%"
"11/01/2010","21.53","20.47","21.74","20.07","189.89M","5.75%"
"10/01/2010","20.36","20.24","20.85","19.76","222.62M","1.60%"
"09/01/2010","20.04","17.78","20.43","17.70","283.14M","14.51%"
"08/01/2010","17.50","18.60","18.75","17.08","221.70M","-4.94%"
