"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2017","38.43","34.65","38.48","34.57","98.60M","10.65%"
"08/01/2017","34.73","36.16","36.83","33.90","101.83M","-1.17%"
"07/01/2017","35.14","34.77","35.35","34.00","77.12M","1.41%"
"06/01/2017","34.65","36.24","36.47","34.47","120.51M","-4.15%"
"05/01/2017","36.15","34.33","37.19","34.21","150.92M","5.33%"
"04/01/2017","34.32","34.59","35.69","33.83","112.23M","-0.58%"
"03/01/2017","34.52","34.35","34.61","33.10","148.50M","1.77%"
"02/01/2017","33.92","36.18","36.20","33.33","147.05M","-5.73%"
"01/01/2017","35.98","38.10","38.68","35.72","110.86M","-3.75%"
"12/01/2016","37.38","35.69","37.67","35.29","115.89M","6.77%"
"11/01/2016","35.01","35.02","35.27","32.53","128.84M","-1.52%"
"10/01/2016","35.55","35.34","36.83","35.21","98.88M","1.11%"
"09/01/2016","35.16","33.81","35.39","33.06","125.34M","3.84%"
"08/01/2016","33.86","33.91","34.80","32.50","136.13M","-1.57%"
"07/01/2016","34.40","35.80","37.28","33.87","154.16M","-3.13%"
"06/01/2016","35.51","30.80","35.58","30.66","285.22M","13.09%"
"05/01/2016","31.40","33.62","33.75","30.76","170.09M","-6.49%"
"04/01/2016","33.58","29.29","34.00","28.67","206.74M","11.27%"
"03/01/2016","30.18","29.45","31.74","29.10","168.30M","3.75%"
"02/01/2016","29.09","31.18","31.89","27.01","198.79M","-10.13%"
"01/01/2016","32.37","30.80","32.38","27.56","212.08M","3.55%"
"12/01/2015","31.26","34.77","34.95","29.90","184.74M","-9.65%"
"11/01/2015","34.60","35.64","37.53","32.89","118.81M","-3.08%"
"10/01/2015","35.70","31.66","36.31","30.78","188.24M","16.82%"
"09/01/2015","30.56","32.37","32.89","29.35","195.60M","-8.88%"
"08/01/2015","33.54","36.63","36.85","30.53","165.14M","-9.28%"
"07/01/2015","36.97","39.65","41.52","35.87","141.20M","-7.48%"
"06/01/2015","39.96","41.18","42.20","39.70","97.14M","-3.62%"
"05/01/2015","41.46","42.82","43.85","41.21","86.40M","-3.94%"
"04/01/2015","43.16","39.38","43.83","39.27","148.55M","10.36%"
"03/01/2015","39.11","41.18","41.88","36.88","136.98M","-5.62%"
"02/01/2015","41.44","39.40","42.10","39.19","130.91M","6.72%"
"01/01/2015","38.83","38.21","40.44","34.93","193.93M","1.86%"
"12/01/2014","38.12","39.62","41.59","34.88","228.60M","-3.05%"
"11/01/2014","39.32","42.94","43.08","39.19","113.29M","-9.53%"
"10/01/2014","43.46","43.84","44.14","39.45","159.50M","-1.11%"
"09/01/2014","43.95","47.57","48.11","43.80","194.79M","-8.13%"
"08/01/2014","47.84","48.66","49.39","46.77","94.04M","-2.31%"
"07/01/2014","48.97","52.90","53.48","48.70","87.27M","-7.17%"
"06/01/2014","52.75","50.76","53.48","49.87","70.23M","4.56%"
"05/01/2014","50.45","50.56","51.56","50.21","85.24M","-0.34%"
"04/01/2014","50.62","48.31","50.77","47.14","90.19M","5.24%"
"03/01/2014","48.10","49.39","49.87","46.29","132.05M","-4.96%"
"02/01/2014","50.61","46.73","51.02","45.83","103.85M","7.93%"
"01/01/2014","46.89","48.43","49.20","46.62","124.44M","-3.54%"
"12/01/2013","48.61","46.73","48.65","45.30","84.82M","3.40%"
"11/01/2013","47.01","46.47","48.03","45.72","104.75M","1.10%"
"10/01/2013","46.50","41.95","46.65","41.30","152.14M","10.64%"
"09/01/2013","42.03","41.39","42.86","41.08","82.38M","1.77%"
"08/01/2013","41.30","41.57","42.22","40.51","92.89M","-0.34%"
"07/01/2013","41.44","41.98","43.75","40.68","133.51M","-0.72%"
"06/01/2013","41.74","43.08","43.47","41.16","95.72M","-2.73%"
"05/01/2013","42.91","43.77","44.27","42.63","109.28M","-1.58%"
"04/01/2013","43.60","42.35","43.73","40.12","143.65M","2.95%"
"03/01/2013","42.35","40.17","42.41","39.99","125.68M","4.83%"
"02/01/2013","40.40","44.65","44.96","40.16","179.65M","-9.25%"
"01/01/2013","44.52","42.45","45.45","42.05","128.07M","6.92%"
"12/01/2012","41.64","41.71","42.31","40.81","93.16M","-0.29%"
"11/01/2012","41.76","43.21","43.24","39.58","116.93M","-2.63%"
"10/01/2012","42.89","42.42","43.90","41.26","122.68M","1.25%"
"09/01/2012","42.36","42.11","44.16","40.33","106.32M","0.71%"
"08/01/2012","42.06","39.80","42.87","39.50","94.40M","5.41%"
"07/01/2012","39.90","40.57","42.05","39.13","120.94M","-1.58%"
"06/01/2012","40.54","37.13","40.59","36.25","137.68M","11.19%"
"05/01/2012","36.46","42.54","43.13","36.25","158.07M","-16.01%"
"04/01/2012","43.41","44.64","45.60","41.34","121.19M","-3.53%"
"03/01/2012","45.00","47.31","48.34","43.65","168.36M","-4.58%"
"02/01/2012","47.16","45.81","48.00","45.22","204.46M","2.72%"
"01/01/2012","45.91","43.79","46.03","42.84","149.29M","7.42%"
"12/01/2011","42.74","43.18","44.26","40.40","107.06M","-1.86%"
"11/01/2011","43.55","41.91","44.89","39.41","145.50M","-1.43%"
"10/01/2011","44.18","35.89","45.83","33.62","215.25M","22.48%"
"09/01/2011","36.07","38.73","39.72","35.10","232.25M","-8.43%"
"08/01/2011","39.39","45.95","46.03","36.80","278.63M","-13.31%"
"07/01/2011","45.44","43.94","47.09","43.31","183.59M","2.60%"
"06/01/2011","44.29","46.16","46.29","41.26","151.68M","-4.22%"
"05/01/2011","46.24","46.33","46.53","42.26","183.02M","0.22%"
"04/01/2011","46.14","45.20","47.45","44.04","163.32M","4.53%"
"03/01/2011","44.14","48.35","49.09","42.50","212.90M","-8.93%"
"02/01/2011","48.47","46.76","48.66","45.46","182.46M","2.11%"
"01/01/2011","47.47","44.90","49.50","44.83","258.13M","7.47%"
"12/01/2010","44.17","40.55","44.83","40.15","166.61M","10.42%"
"11/01/2010","40.00","40.99","44.37","39.76","192.84M","-1.96%"
"10/01/2010","40.80","41.94","42.08","39.58","184.87M","-0.90%"
"09/01/2010","41.17","35.89","41.30","35.67","202.18M","18.20%"
"08/01/2010","34.83","39.00","41.59","34.16","337.77M","-9.46%"
"07/01/2010","38.47","29.86","39.81","28.79","916.34M","33.21%"
"06/01/2010","28.88","37.34","39.41","26.75","2.38B","-32.76%"
"05/01/2010","42.95","49.36","52.00","40.61","780.38M","-17.64%"
"04/01/2010","52.15","57.45","60.98","51.36","268.85M","-8.62%"
"03/01/2010","57.07","53.36","58.49","53.26","130.17M","7.25%"
"02/01/2010","53.21","56.47","57.26","52.00","149.81M","-5.19%"
"01/01/2010","56.12","59.30","62.38","55.87","102.70M","-3.19%"
"12/01/2009","57.97","58.32","59.00","55.76","84.53M","1.38%"
"11/01/2009","57.18","57.03","60.00","56.22","89.86M","0.99%"
"10/01/2009","56.62","52.91","58.69","50.60","141.57M","6.37%"
"09/01/2009","53.23","51.14","55.61","50.30","106.78M","3.46%"
"08/01/2009","51.45","51.45","52.69","48.70","96.50M","2.82%"
"07/01/2009","50.04","48.36","51.53","44.62","115.30M","4.95%"
"06/01/2009","47.68","51.00","53.29","46.01","141.95M","-3.68%"
"05/01/2009","49.50","43.17","50.20","42.95","143.91M","16.58%"
"04/01/2009","42.46","39.25","43.55","38.50","155.03M","5.89%"
"03/01/2009","40.10","36.92","42.27","33.70","201.19M","4.54%"
"02/01/2009","38.36","41.17","46.07","37.83","166.17M","-9.68%"
