"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2019","61.73","57.87","62.34","57.72","65.80M","5.94%"
"12/01/2018","58.27","61.93","62.12","55.04","83.98M","-3.53%"
"11/01/2018","60.40","63.53","64.56","58.55","74.77M","-4.42%"
"10/01/2018","63.19","68.94","69.60","60.53","104.03M","-7.26%"
"09/01/2018","68.14","65.47","70.09","62.46","60.44M","4.46%"
"08/01/2018","65.23","67.78","67.80","61.61","65.56M","-4.59%"
"07/01/2018","68.37","68.38","71.85","67.26","58.18M","-1.24%"
"06/01/2018","69.23","69.86","70.71","66.36","83.01M","-0.50%"
"05/01/2018","69.58","69.73","73.86","67.11","80.11M","-0.46%"
"04/01/2018","69.90","63.72","71.69","62.33","79.70M","9.54%"
"03/01/2018","63.81","63.15","65.13","61.30","77.78M","0.85%"
"02/01/2018","63.27","68.90","69.69","61.01","86.55M","-9.92%"
"01/01/2018","70.24","67.00","72.43","66.91","55.90M","5.29%"
"12/01/2017","66.71","63.85","66.92","63.10","61.75M","4.04%"
"11/01/2017","64.12","62.92","65.83","61.46","102.96M","1.73%"
"10/01/2017","63.03","60.19","63.28","60.05","84.44M","4.04%"
"09/01/2017","60.58","55.11","60.66","54.95","76.32M","9.79%"
"08/01/2017","55.18","56.61","57.75","54.27","67.55M","-2.39%"
"07/01/2017","56.53","53.41","56.84","52.44","61.44M","6.28%"
"06/01/2017","53.19","54.24","54.68","51.91","65.08M","-2.24%"
"05/01/2017","54.41","52.28","56.26","51.85","77.61M","4.25%"
"04/01/2017","52.19","52.60","53.76","51.08","67.87M","-1.02%"
"03/01/2017","52.73","52.14","53.33","50.32","69.81M","1.62%"
"02/01/2017","51.89","54.50","55.22","51.54","75.93M","-4.60%"
"01/01/2017","54.39","55.24","56.39","53.55","65.47M","0.02%"
"12/01/2016","54.38","52.06","54.98","51.44","77.20M","6.42%"
"11/01/2016","51.10","51.71","52.20","48.07","99.96M","2.59%"
"10/01/2016","49.81","50.41","52.42","49.34","72.85M","-0.52%"
