"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2009","78.04","76.86","79.82","75.56","179.04M","1.96%"
"10/01/2009","76.54","70.40","78.50","67.87","220.59M","8.68%"
"09/01/2009","70.43","69.69","73.37","67.96","195.35M","0.70%"
"08/01/2009","69.94","70.26","71.50","66.06","200.77M","0.68%"
"07/01/2009","69.47","66.93","69.69","60.88","249.95M","4.86%"
"06/01/2009","66.25","67.80","72.75","65.22","279.41M","-0.63%"
"05/01/2009","66.67","66.06","70.94","63.57","255.17M","0.86%"
"04/01/2009","66.10","66.00","71.29","63.06","257.78M","-1.70%"
"03/01/2009","67.24","59.37","70.92","56.12","388.06M","10.76%"
"02/01/2009","60.71","69.52","75.56","60.57","306.38M","-13.91%"
"01/01/2009","70.52","74.23","78.45","68.00","299.37M","-4.66%"
"12/01/2008","73.97","76.50","81.92","68.22","392.33M","-6.38%"
"11/01/2008","79.01","73.44","80.00","64.27","404.67M","5.91%"
"10/01/2008","74.60","81.51","83.70","55.50","559.19M","-9.55%"
"09/01/2008","82.48","84.49","89.75","77.50","359.72M","-4.45%"
"08/01/2008","86.32","83.98","89.10","80.85","265.93M","2.08%"
"07/01/2008","84.56","98.26","100.00","81.46","350.50M","-14.70%"
"06/01/2008","99.13","98.82","102.15","95.53","274.15M","-0.02%"
"05/01/2008","99.15","94.86","104.63","93.43","278.39M","3.12%"
"04/01/2008","96.15","85.08","97.28","84.57","236.08M","12.64%"
"03/01/2008","85.36","86.38","89.00","80.87","256.94M","-1.50%"
"02/01/2008","86.66","84.71","89.29","76.51","264.07M","4.10%"
"01/01/2008","83.25","93.96","95.21","76.40","281.19M","-10.80%"
"12/01/2007","93.33","87.10","95.20","86.74","162.80M","6.33%"
"11/01/2007","87.77","90.05","91.48","81.92","230.80M","-4.09%"
"10/01/2007","91.51","93.30","94.53","86.72","212.38M","-2.21%"
"09/01/2007","93.58","87.19","95.50","85.91","184.66M","6.63%"
"08/01/2007","87.76","84.77","89.50","78.25","292.12M","2.93%"
"07/01/2007","85.26","84.70","95.00","83.60","235.74M","1.21%"
"06/01/2007","84.24","81.76","85.19","79.12","195.34M","3.37%"
"05/01/2007","81.49","77.97","83.56","77.42","205.15M","4.76%"
"04/01/2007","77.79","74.05","79.07","74.05","181.49M","5.18%"
"03/01/2007","73.96","67.32","74.98","64.99","236.94M","7.94%"
"02/01/2007","68.52","73.25","74.96","68.02","183.92M","-5.98%"
"01/01/2007","72.88","72.77","73.44","68.48","192.81M","-0.88%"
"12/01/2006","73.53","72.33","76.20","71.83","152.82M","1.67%"
"11/01/2006","72.32","67.20","72.96","66.51","185.45M","7.62%"
"10/01/2006","67.20","64.90","68.50","62.22","197.94M","3.61%"
"09/01/2006","64.86","64.72","67.15","60.72","196.77M","0.71%"
"08/01/2006","64.40","65.72","68.24","64.15","182.26M","-2.10%"
"07/01/2006","65.78","62.27","68.47","62.26","187.04M","5.99%"
"06/01/2006","62.06","59.67","62.98","55.41","221.18M","3.80%"
"05/01/2006","59.79","61.62","63.65","56.63","221.57M","-2.02%"
"04/01/2006","61.02","58.35","61.94","58.00","151.63M","5.26%"
"03/01/2006","57.97","56.72","59.29","53.76","208.74M","2.64%"
"02/01/2006","56.48","59.38","59.80","55.41","188.55M","-4.88%"
"01/01/2006","59.38","57.25","62.72","57.06","199.37M","4.60%"
"12/01/2005","56.77","57.70","60.50","55.44","161.79M","-0.94%"
"11/01/2005","57.31","57.07","59.58","55.00","181.57M","0.42%"
"10/01/2005","57.07","65.25","65.49","54.80","240.00M","-11.83%"
"09/01/2005","64.73","63.00","65.98","61.67","171.94M","5.42%"
"08/01/2005","61.40","58.11","63.13","57.79","212.13M","5.84%"
"07/01/2005","58.01","56.35","59.67","56.11","134.49M","3.74%"
"06/01/2005","55.92","53.94","59.48","53.80","183.58M","3.98%"
